gameorder,game_id,lg_id,year_id,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,forecast
52807,200704210chi,nba,2007,chi,bulls,96,1619.0327,1621.7501,53.335758,mia,heat,91,1505.2631,1502.5457,0.77391607
52807,200704210chi,nba,2007,mia,heat,91,1505.2631,1502.5457,41.22559,chi,bulls,96,1619.0327,1621.7501,0.22608393
52808,200704210det,nba,2007,det,pistons,100,1627.0093,1630.6476,54.178658,orl,magic,92,1520.4855,1516.8472,0.76653469
52808,200704210det,nba,2007,orl,magic,92,1520.4855,1516.8472,42.724739,det,pistons,100,1627.0093,1630.6476,0.23346531
52809,200704210hou,nba,2007,hou,rockets,84,1596.2819,1601.8324,51.407715,uta,jazz,75,1561.939,1556.3884,0.6842429
52809,200704210hou,nba,2007,uta,jazz,75,1561.939,1556.3884,46.833607,hou,rockets,84,1596.2819,1601.8324,0.3157571
52810,200704210tor,nba,2007,njn,nets,96,1510.7953,1522.0082,43.264816,tor,raptors,91,1559.5359,1548.323,0.29812974
52810,200704210tor,nba,2007,tor,raptors,91,1559.5359,1548.323,46.002384,njn,nets,96,1510.7953,1522.0082,0.70187026
52811,200704220cle,nba,2007,cle,cavaliers,97,1598.4048,1602.5985,51.482861,was,wizards,82,1443.6605,1439.4668,0.81251353
52811,200704220cle,nba,2007,was,wizards,82,1443.6605,1439.4668,34.660168,cle,cavaliers,97,1598.4048,1602.5985,0.18748647
52812,200704220dal,nba,2007,dal,mavericks,85,1708.5339,1686.3781,59.158619,gsw,warriors,97,1586.0482,1608.2041,0.78257412
52812,200704220dal,nba,2007,gsw,warriors,97,1586.0482,1608.2041,52.03038,dal,mavericks,85,1708.5339,1686.3781,0.21742588
52813,200704220pho,nba,2007,pho,suns,95,1673.9734,1676.2639,58.296104,lal,lakers,87,1480.3827,1478.0922,0.84422994
52813,200704220pho,nba,2007,lal,lakers,87,1480.3827,1478.0922,38.663067,pho,suns,95,1673.9734,1676.2639,0.15577006
52814,200704220sas,nba,2007,den,nuggets,95,1597.4575,1610.6154,52.26461,sas,spurs,89,1672.001,1658.8431,0.26800799
