pts,elo_i,elo_n,win_equiv,opp_pts,opp_elo_i,opp_elo_n,forecast
103,1528.9677,1524.5549,43.666241,111,1596.8147,1601.2274,0.27563751
111,1596.8147,1601.2274,51.475311,103,1528.9677,1524.5549,0.72436249
98,1419.5936,1415.0808,32.319946,105,1466.9281,1471.4409,0.29982626
105,1466.9281,1471.4409,38.10342,98,1419.5936,1415.0808,0.70017374
88,1637.8228,1643.209,55.46666,63,1263.9086,1258.5223,0.82874757
63,1263.9086,1258.5223,18.532442,88,1637.8228,1643.209,0.17125244
106,1524.5549,1510.1564,42.159355,118,1562.7026,1577.1012,0.58808404
118,1562.7026,1577.1012,49.07497,106,1524.5549,1510.1564,0.41191596
124,1507.4897,1512.6744,42.423225,120,1556.1985,1551.0138,0.57328248
120,1556.1985,1551.0138,46.413631,124,1507.4897,1512.6744,0.42671752
89,1438.0192,1433.3411,34.166435,109,1608.9016,1613.5797,0.17374355
109,1608.9016,1613.5797,52.676334,89,1438.0192,1433.3411,0.82625645
99,1441.9152,1447.5308,35.621689,87,1372.6227,1367.0071,0.72602069
87,1372.6227,1367.0071,27.648417,99,1441.9152,1447.5308,0.27397931
111,1523.9918,1530.1104,44.245941,107,1415.0808,1408.9623,0.5128212
107,1415.0808,1408.9623,31.708981,111,1523.9918,1530.1104,0.48717883
96,1404.0587,1401.2379,30.943863,98,1433.3411,1436.1619,0.32208443
98,1433.3411,1436.1619,34.454445,96,1404.0587,1401.2379,0.67791557
96,1459.2904,1448.0922,35.679573,103,1474.1045,1485.3027,0.62019348
103,1474.1045,1485.3027,39.55323,96,1459.2904,1448.0922,0.37980652
111,1473.6874,1471.8516,38.146282,116,1661.1954,1663.0313,0.16043037
116,1661.1954,1663.0313,57.253551,111,1473.6874,1471.8516,0.83956963
98,1329.0669,1322.2567,23.619884,122,1653.3601,1660.1703,0.21566068
122,1653.3601,1660.1703,56.999882,98,1329.0669,1322.2567,0.78433931
87,1601.2274,1583.0374,49.671661,91,1257.673,1275.863,0.92779523
91,1257.673,1275.863,19.836021,87,1601.2274,1583.0374,0.072204769
113,1469.4899,1466.9495,37.635036,116,1551.0138,1553.5542,0.26019877
116,1551.0138,1553.5542,46.675236,113,1469.4899,1466.9495,0.73980123
88,1658.3319,1650.3485,56.118053,91,1449.424,1457.4073,0.65179181
91,1449.424,1457.4073,36.64304,88,1658.3319,1650.3485,0.34820819
96,1572.4579,1576.1995,48.984009,88,1471.4409,1467.6993,0.76081389
88,1471.4409,1467.6993,37.713181,96,1572.4579,1576.1995,0.23918611
80,1599.4305,1593.8322,50.746784,86,1580.4574,1586.0558,0.38546205
86,1580.4574,1586.0558,49.973621,80,1599.4305,1593.8322,0.61453795
90,1506.0236,1489.8676,40.031639,114,1643.209,1659.365,0.44668928
114,1643.209,1659.365,56.928215,90,1506.0236,1489.8676,0.55331075
120,1577.1012,1588.3065,50.198116,108,1466.9495,1455.7441,0.5146054
108,1466.9495,1455.7441,36.470627,120,1577.1012,1588.3065,0.48539463
77,1258.5223,1273.3503,19.643322,66,1447.5308,1432.7028,0.37463725
66,1447.5308,1432.7028,34.101357,77,1258.5223,1273.3503,0.62536275
118,1660.1703,1661.7845,57.143188,101,1322.2567,1320.6425,0.92558944
101,1322.2567,1320.6425,23.481226,118,1660.1703,1661.7845,0.074410558
96,1275.863,1272.5706,19.583782,116,1510.1564,1513.4489,0.12737757
116,1510.1564,1513.4489,42.504356,96,1275.863,1272.5706,0.87262243
113,1512.6744,1518.2147,43.003353,92,1367.0071,1361.4668,0.80442363
92,1367.0071,1361.4668,27.131317,113,1512.6744,1518.2147,0.19557637
96,1650.3485,1638.6931,55.050259,99,1485.3027,1496.9581,0.82138014
99,1485.3027,1496.9581,40.77523,96,1650.3485,1638.6931,0.17861986
96,1593.8322,1583.1521,49.683159,118,1613.5797,1624.2598,0.33418381
118,1613.5797,1624.2598,53.697559,96,1593.8322,1583.1521,0.66581619
