game_id,year_id,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,forecast
200610310lal,2007,lal,lakers,114,1553.0189,1560.0155,47.205868,pho,suns,106,1586.724,1579.7274,0.59426481
200610310lal,2007,pho,suns,106,1586.724,1579.7274,49.209198,lal,lakers,114,1553.0189,1560.0155,0.40573519
200610310mia,2007,mia,heat,66,1622.8378,1572.0437,48.432564,chi,bulls,108,1521.9646,1572.7587,0.76066321
200610310mia,2007,chi,bulls,108,1521.9646,1572.7587,48.505074,mia,heat,66,1622.8378,1572.0437,0.23933679
200611010bos,2007,bos,celtics,87,1454.4836,1445.4778,35.277035,nok,pelicans,91,1446.5521,1455.558,0.65051502
200611010bos,2007,nok,pelicans,91,1446.5521,1455.558,36.317318,bos,celtics,87,1454.4836,1445.4778,0.34948498
200611010cha,2007,ind,pacers,106,1491.4143,1500.4463,41.005379,cha,hornets,99,1411.1268,1402.0948,0.47166181
200611010cha,2007,cha,hornets,99,1411.1268,1402.0948,30.90078,ind,pacers,106,1491.4143,1500.4463,0.52833819
200611010cle,2007,was,wizards,94,1541.927,1538.321,44.965832,cle,cavaliers,97,1549.3113,1552.9172,0.35020149
200611010cle,2007,cle,cavaliers,97,1549.3113,1552.9172,46.476425,was,wizards,94,1541.927,1538.321,0.64979851
200611010det,2007,mil,bucks,105,1484.3003,1501.1648,41.080746,det,pistons,97,1595.7813,1578.9167,0.22839743
200611010det,2007,det,pistons,97,1595.7813,1578.9167,49.127537,mil,bucks,105,1484.3003,1501.1648,0.77160257
200611010gsw,2007,gsw,warriors,98,1461.6573,1449.9508,35.737808,lal,lakers,110,1560.0155,1571.722,0.50236279
200611010gsw,2007,lal,lakers,110,1560.0155,1571.722,48.399929,gsw,warriors,98,1461.6573,1449.9508,0.49763721
200611010mem,2007,mem,grizzlies,117,1549.5303,1540.8004,45.223312,nyk,knicks,118,1366.9042,1375.634,0.8357482
